id,description,price
1,Bread Cranberry Foccacia,3487945734
2,Spice - Paprika,2913503206
3,Tea - Decaf 1 Cup,1652404883
4,Goat - Whole Cut,3378134043
5,Onions - Cippolini,2063502626
6,Lettuce - Curly Endive,602967965
7,Shrimp - 100 / 200 Cold Water,2818030645
8,Pepper - Sorrano,3555922928
9,"Rum - Spiced, Captain Morgan",3460873028
10,Shortbread - Cookie Crumbs,278376623
11,Loquat,2144750856
12,Wine - Pinot Noir Latour,1963320842
13,Sword Pick Asst,3891645750
14,Tequila Rose Cream Liquor,183227323
15,Wine - Cousino Macul Antiguas,1654792088
16,Chicken - Livers,1765506413
17,"Fish - Artic Char, Cold Smoked",2680307379
18,Wine - Casablanca Valley,204192621
19,Squid - U - 10 Thailand,3333638329
20,Extract - Almond,1005015011
21,Sausage - Meat,3811741321
22,Roe - Flying Fish,2820149190
23,"Pasta - Linguini, Dry",396759198
24,Steel Wool S.o.s,518764203
25,Sauce - Thousand Island,3130486166
26,Sour Puss Raspberry,3894739700
27,Vinegar - Balsamic,1455099695
28,Bag Stand,831250774
29,Orange Roughy 4/6 Oz,3091733974
30,Scallops - Live In Shell,2953208429
31,"Pork - Loin, Center Cut",3245593794
32,Duck - Whole,2341940112
33,Orange Roughy 4/6 Oz,1446394727
34,Crackers - Graham,3831638924
35,Extract - Raspberry,3866469690
36,Kiwi Gold Zespri,3812815625
37,Creme De Menthe Green,3985618769
38,Squid - U - 10 Thailand,2995841728
39,Mortadella,122425248
40,"Potatoes - Purple, Organic",3952632084
41,"Chicken - Thigh, Bone In",3182870021
42,Sweet Pea Sprouts,936488130
43,Rice - Long Grain,114468091
44,Bread Foccacia Whole,3209535941
45,Beer - Labatt Blue,758189955
46,"Bread - Roll, Canadian Dinner",1869214653
47,Beer - Upper Canada Light,945231490
48,Oneshot Automatic Soap System,186534555
49,Kellogs Special K Cereal,3609289306
50,Avocado,2280103647
51,Ostrich - Fan Fillet,1586655122
52,Rice - Wild,3086485936
53,Ice Cream - Turtles Stick Bar,2583700762
54,Wine - Fino Tio Pepe Gonzalez,571226010
55,Parsley Italian - Fresh,1983019891
56,Chicken Breast Halal,3986210553
57,Mince Meat - Filling,2570981870
58,Bag Stand,3226867823
59,Nantucket Apple Juice,3500115110
60,Everfresh Products,3811413218
61,"Beans - Black Bean, Preserved",968425734
62,Apricots Fresh,2307668394
63,Drambuie,3249864525
64,"Soup - Canadian Pea, Dry Mix",1426509919
65,Lamb - Whole Head Off,3316239849
66,"Wine - Red, Marechal Foch",1788807364
67,Bread Crumbs - Panko,440099387
68,"Turkey - Breast, Boneless Sk On",2104385632
69,Shopper Bag - S - 4,3392468526
70,"Turkey - Breast, Bone - In",2546752146
71,Pop Shoppe Cream Soda,915801020
72,Island Oasis - Mango Daiquiri,1856476840
73,Cranberries - Dry,976295511
74,Celery,307991959
75,Rice - Long Grain,1992953932
76,Cornish Hen,3824395945
77,Tuna - Salad Premix,2368185086
78,Huck Towels White,227424284
79,Mushroom - White Button,192655363
80,Lettuce - Frisee,710296414
81,Soup - Base Broth Chix,124300139
82,Lamb - Loin Chops,1661774541
83,Veal - Leg,2753985716
84,Lamb Leg - Bone - In Nz,529212077
85,Wine - Tio Pepe Sherry Fino,1456362115
86,Wine - Alsace Riesling Reserve,3544735753
87,Cake - Pancake,3853590527
88,Bacardi Limon,1918097426
89,Wine - Periguita Fonseca,67460177
90,The Pop Shoppe - Cream Soda,95776588
91,Pepsi - 600ml,615427305
92,Okra,1477222696
93,Momiji Oroshi Chili Sauce,373739280
94,Ecolab Silver Fusion,3507069981
95,Cream - 18%,2554613284
96,Steampan Lid,3399684215
97,Muffin Mix - Carrot,3414330822
98,Juice Peach Nectar,253977636
99,Macaroons - Two Bite Choc,3472368661
100,Boogies,2099492127
101,Foie Gras,26824454
102,Grenadillo,3467041555
103,Ice Cream Bar - Oreo Cone,2163209581
104,Compound - Passion Fruit,2121312161
105,Pork - Belly Fresh,1092613052
106,Venison - Striploin,1910593813
107,Beef Striploin Aaa,2988055664
108,Food Colouring - Pink,1468483635
109,"Turkey - Breast, Double",2895795753
110,Lettuce - Escarole,1722721063
111,Veal - Bones,2615414277
112,"Cherries - Bing, Canned",1746359965
113,Lettuce - Green Leaf,3756629293
114,Pop - Club Soda Can,3018031337
115,"Soup - Campbells, Chix Gumbo",3975071624
116,"Artichoke - Bottom, Canned",1289153554
117,"Wine - White, Pelee Island",3586942691
118,Flour - Cake,698178882
119,"Tendrils - Baby Pea, Organic",2569128890
120,"Chilli Paste, Sambal Oelek",1874962458
121,Veal - Heart,2945294682
122,Vaccum Bag - 14x20,3024846062
123,Ginger - Fresh,2413771309
124,Mushroom - Chanterelle Frozen,751069782
125,Lobster - Base,3881207255
126,"Chicken - Diced, Cooked",675249600
127,Cream - 18%,3707431619
128,Island Oasis - Ice Cream Mix,377789283
129,Beer - Labatt Blue,2785306303
130,Pernod,470799731
131,Pie Filling - Cherry,2958298549
132,Muffin Mix - Carrot,1667945506
133,Mini - Vol Au Vents,1022199306
134,Plasticforkblack,3664027870
135,Peppercorns - Green,197433615
136,"Rum - Cream, Amarula",2906994779
137,Higashimaru Usukuchi Soy,3524017554
138,Muffin - Zero Transfat,1890771460
139,Squid Ink,2526750954
140,"Bread - White, Unsliced",251218932
141,Soap - Pine Sol Floor Cleaner,3594650785
142,Asparagus - Mexican,3912675746
143,Bread - Corn Muffaleta Onion,3479716946
144,Cheese - Mix,3275142870
145,Cookies - Englishbay Chochip,2145171883
146,Lobster - Canned Premium,2089928773
147,Cheese - Provolone,3226029262
148,Pastry - Baked Scones - Mini,2245989985
149,"Leeks - Baby, White",1234430604
150,Wine - Ej Gallo Sierra Valley,92090725
151,Tequila Rose Cream Liquor,3586716844
152,Rye Special Old,1445858824
153,"Pasta - Rotini, Colour, Dry",756817791
154,Cocoa Powder - Natural,1427815683
155,Clam - Cherrystone,863978411
156,Bread Crumbs - Japanese Style,2583933075
157,Crab - Meat Combo,3595522562
158,Cherries - Fresh,1592916886
159,Cheese - Mix,1946545698
160,Tomato - Tricolor Cherry,1697530972
161,Boogies,701884018
162,Clams - Bay,3241069969
163,Fennel,2880161186
164,"Mushroom - Morels, Dry",673565223
165,Sausage - Meat,3735219058
166,Wine - Zinfandel California 2002,2095578382
167,Coffee - French Vanilla Frothy,2627502829
168,Shrimp - 150 - 250,1315381282
169,"Nestea - Ice Tea, Diet",3304179713
170,Pepperoni Slices,670779130
171,Lid - 0090 Clear,3753756790
172,Skewers - Bamboo,2580190664
173,"Wine - Magnotta, White",90943378
174,Cranberries - Frozen,1103220943
175,"Champagne - Brights, Dry",1850300224
176,Towel Multifold,2502115832
177,Parsnip,1340001315
178,"Stock - Chicken, White",2014868831
179,Squash - Acorn,3083918976
180,Chocolate Liqueur - Godet White,87668860
181,Mcguinness - Blue Curacao,3689248911
182,Wine - Beringer Founders Estate,350739619
183,Vinegar - White Wine,853007063
184,Apples - Spartan,3848723942
185,Tilapia - Fillets,2851431854
186,"Pork - Bacon, Sliced",2431555838
187,Soup Campbells Beef With Veg,655684553
188,Pork - Sausage Casing,3952510258
189,Kellogs All Bran Bars,2109009167
190,"Quail - Whole, Boneless",940781648
191,Olives - Nicoise,1778698457
192,Bar Bran Honey Nut,1201356858
193,"Wine - Niagara,vqa Reisling",3367518056
194,Sword Pick Asst,3199615268
195,Soup - Verve - Chipotle Chicken,2089285925
196,Cream - 35%,1075381697
197,Tamarind Paste,2113827234
198,"Tart Shells - Sweet, 2",2705974319
199,Madeira,265024866
200,Chinese Foods - Cantonese,3825653296
201,Halibut - Fletches,3627440431
202,Latex Rubber Gloves Size 9,1019786225
203,Tea - Apple Green Tea,2557756650
204,Sage - Fresh,3915321363
205,Onions - Green,2546117648
206,Tomato Paste,1706921507
207,Chicken Thigh - Bone Out,2929672510
208,Wine - Malbec Trapiche Reserve,3679088218
209,Sun - Dried Tomatoes,2423049671
210,Egg - Salad Premix,3291507612
211,Chicken - Whole,299300712
212,"Gingerale - Schweppes, 355 Ml",1924421729
213,Contreau,3027272865
214,Mangoes,460103858
215,Tea - Orange Pekoe,510347805
216,Beef - Kobe Striploin,789508674
217,Soup - Campbells Chili,1387623141
218,Pears - Fiorelle,393988261
219,"Tortillas - Flour, 10",1795352706
220,Sage - Ground,473972360
221,Bread - Sour Sticks With Onion,965576975
222,Sugar - Splenda Sweetener,2197732113
223,Asparagus - Mexican,319438393
224,Napkin White,2699846977
225,"Juice - Apple, 341 Ml",2158320818
226,Flower - Potmums,1655114350
227,Wine - Cotes Du Rhone Parallele,344049450
228,"Bread - Roll, Canadian Dinner",3305807940
229,Nacho Chips,644621850
230,Steamers White,3235948718
231,Cocoa Powder - Natural,2629189537
232,Sprouts - Peppercress,2158766497
233,Mortadella,3483606092
234,Rice Paper,1333874459
235,Puree - Raspberry,849297135
236,Appetizer - Southwestern,1283933580
237,Mayonnaise,568897075
238,Yoghurt Tubes,3924795522
239,Flavouring - Raspberry,315736700
240,Bagel - 12 Grain Preslice,2907799491
241,Barramundi,2296470843
242,Wine La Vielle Ferme Cote Du,2132268179
243,Sauce - Soy Low Sodium - 3.87l,379534345
244,Carbonated Water - White Grape,131457833
245,"Beef - Rib Roast, Cap On",425821602
246,Lemon Grass,3725343861
247,Food Colouring - Orange,418321390
248,Ice Cream - Super Sandwich,1620473229
249,Nectarines,1344580803
250,"Pasta - Fett Alfredo, Single Serve",2567415059
251,Cheese - Brie,2789676962
252,Steel Wool,2030327284
253,Seedlings - Clamshell,545339724
254,"Water, Tap",259477442
255,Cheese - Colby,1353527632
256,Bagel - 12 Grain Preslice,3103360334
257,"Wine - Red, Colio Cabernet",1327541924
258,Compound - Rum,2788967084
259,Wine - Sauvignon Blanc,3557518460
260,"Beans - Turtle, Black, Dry",1767379103
261,"Basil - Primerba, Paste",737719608
262,"Roe - Lump Fish, Black",3089811880
263,Apple - Northern Spy,355337531
264,Straws - Cocktale,339509796
265,"Water - Mineral, Natural",3784968236
266,Muskox - French Rack,2846525490
267,Gelatine Leaves - Bulk,3878999904
268,Basil - Thai,3955516207
269,"Mushroom - Morels, Dry",700609106
